track.name,track.id,track.album.name,simplified_genre
Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,Nevermind (Remastered),rock
This Can't Be Life,4UPyqSVCf0ukiBbi0MvLDW,The Dynasty: Roc La Familia,hip hop
Family Business,5DBmXF7QO43Cuy9yqva116,The College Dropout,hip hop
Angeleyes,7rWgGyRK7RAqAAXy4bLft9,Voulez-Vous,rock
Father Stretch,2tLH5EsewbZNvmWidJqzDF,Jesus Is Born,hip hop
Turn to Stone,1Pd1h30mgU05QkWYhgFzwt,Out of the Blue,rock
Conquest (Fire Emblem: Awakening),7GUdZH0lYiOlfBsWrhMwHp,Fire Emblem: Solo Piano,other
"The Edge of Dawn (Seasons of Warfare) [From ""Fire Emblem: Three Houses""] [For Piano Solo]",4e3YHZboBSTGdjbl9cacU2,Fire Emblem: Three Houses Flute & Piano Collections,other
Bad Habit,5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,rock
Miss Independent,34ceTg8ChN5HjrqiIYCn9Q,Year Of The Gentleman (Bonus Track Edition),other
Passin' Me By,4G3dZN9o3o2X4VKwt4CLts,Bizarre Ride II The Pharcyde,hip hop
Wu-Tang: 7th Chamber,5wcY4XgawQ2se8VjDLhedQ,Enter The Wu-Tang (36 Chambers) [Expanded Edition],hip hop
It's Been A Long Time,4sMH75ctV0RVSOHZqXJpHD,The 18th Letter / The Book Of Life,hip hop
Party And Bullshit,5mqPg2dyqb1gBNyg9ycGcT,Whos The Man ? Soundtrack,hip hop
Represent,6DPrhGVJ1WTZvM9fKptnGe,Illmatic,hip hop
Dillatronic 35,6oOr5im8qahxu4GR7MkCG2,Dillatronic,hip hop
"Da Mystery of Chessboxin' (feat. Method Man, U-God, Inspectah Deck, Raekwon, Ol' Dirty Bastard, Ghostface Killah & Masta Killa)",4xOTVtbCPcfxMs2hSt9D6i,Enter The Wu-Tang (36 Chambers) [Expanded Edition],hip hop
Can It Be All so Simple,6OCYTygzbVwil2UFkREQiD,The Essential Wu-Tang Clan,hip hop
AmeriKKKa's Most Wanted,2mYnMZOESVQeUcbvxR1lYi,AmeriKKKa's Most Wanted,hip hop
"Tearz (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)",7y5zXpTN4J7K0PngQYa655,Enter The Wu-Tang (36 Chambers) [Expanded Edition],hip hop
Still Dreaming,72nLaDnt2dfxCA3ZAiEC2c,Hip Hop Is Dead (Expanded Edition),hip hop
